price,bedrooms,beds,cleaning_fee,guests_included,maximum_nights,minimum_nights,property_type,room_type,review_scores,street,country,country_code,availability_30,availability_60,availability_90,availability_365,latitude,longitude
40,1,1,0,1,1125,4,Apartment,Private room,100,"New York, NY, United States",United States,US,0,0,0,0,40.78626,-73.94429
200,1,1,100,1,1125,3,Apartment,Entire home/apt,0,"New York, NY, United States",United States,US,0,0,0,0,40.72404,-73.99529
64,2,2,25,2,1125,2,Apartment,Entire home/apt,100,"Montréal, Québec, Canada",Canada,CA,0,0,0,0,45.53481,-73.55985
227,1,1,0,1,1125,1,Apartment,Private room,0,"Şişli, İstanbul, Turkey",Turkey,TR,30,60,90,365,41.06018,28.98641
65,1,1,0,1,1125,5,Cabin,Entire home/apt,0,"Captain Cook, HI, United States",United States,US,19,48,78,353,19.26787,-155.87508
109,1,1,30,1,7,2,Cabin,Entire home/apt,98,"Bundeena, NSW, Australia",Australia,AU,14,35,43,125,-34.08087,151.15761
95,1,1,60,1,1125,1,Apartment,Private room,0,"Sisli, İstanbul, Turkey",Turkey,TR,30,60,90,365,41.04768,28.98361
75,1,1,50,1,1125,30,House,Private room,0,"Beaconsfield, NSW, Australia",Australia,AU,0,0,0,0,-33.90987,151.2009
35,2,2,20,1,1125,1,Apartment,Private room,95,"Barcelona, Catalonia, Spain",Spain,ES,10,19,26,92,41.3791,2.16851
518,3,4,300,4,1125,2,Apartment,Entire home/apt,96,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,16,46,76,351,-22.98069034,-43.21889444
148,1,1,0,1,1125,2,Apartment,Private room,98,"Fatih, İstanbul, Turkey",Turkey,TR,7,30,53,322,41.00359,28.97622
60,2,5,20,5,1125,2,Apartment,Entire home/apt,95,"Porto, Porto District, Portugal",Portugal,PT,12,23,32,259,41.14366,-8.61825
60,1,1,0,1,1125,1,Apartment,Private room,0,"Montréal, Québec, Canada",Canada,CA,0,0,0,0,45.51625,-73.55495
161,1,2,70,2,365,2,Apartment,Entire home/apt,94,"North Sydney, NSW, Australia",Australia,AU,7,22,51,322,-33.84297,151.21478
40,1,1,0,2,1120,2,Loft,Entire home/apt,92,"Porto, Porto District, Portugal",Portugal,PT,8,30,40,275,41.14736,-8.61504
70,1,2,0,1,15,3,Apartment,Private room,100,"Montréal, Québec, Canada",Canada,CA,0,0,0,0,45.47348,-73.58664
283,1,2,0,1,365,4,Bed and breakfast,Private room,95,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,23,53,75,75,22.31871,114.17082
80,1,2,0,2,300,2,Apartment,Entire home/apt,98,"Porto, Porto, Portugal",Portugal,PT,6,11,16,266,41.14507,-8.61655
125,1,1,0,1,1125,2,House,Private room,88,"Sydney , NSW, Australia",Australia,AU,30,60,90,365,-33.86771,151.16994
351,3,8,250,3,90,3,Apartment,Entire home/apt,100,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,3,14,44,130,-22.98570389,-43.20246233
100,1,1,15,1,1125,1,House,Private room,99,"Kailua-Kona, HI, United States",United States,US,9,19,32,284,19.61171,-155.97975
933,2,2,0,1,1125,1,Condominium,Entire home/apt,0,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,0,0,0,0,-23.00273937,-43.42564905
35,1,1,0,1,1125,1,Apartment,Private room,0,"Brooklyn, NY, United States",United States,US,0,0,0,0,40.70017,-73.92081
190,1,2,0,1,1125,1,Apartment,Private room,100,"İstanbul, İstanbul, Turkey",Turkey,TR,28,58,88,363,40.98909,29.04503
